Well Name,Bit RPM (RPM),Bit Torque (kft_lb),Depth of Cut (in),Gamma (api),Mechanical Specific Energy (ksi),On Bottom ROP (ft_per_hr),Rotary RPM (RPM),Total Pump Output (gal_per_min),Weight on Bit (klbs)
Well 1,284,2,0.106,109.2956,24.1,149.72,111.12,692.71,20.0
Well 1,284,2,0.107,109.04399999999998,23.8,151.45,111.12,692.76,19.8
Well 1,284,2,0.107,99.87780000000001,23.8,151.33,111.18,692.76,19.2
Well 1,284,2,0.107,99.9108,23.8,151.38,111.18,692.76,18.8
Well 1,284,2,0.107,94.9725,23.1,150.75,111.06,693.42,19.2
Well 1,284,2,0.106,109.66789999999999,23.5,150.23,111.04,693.36,19.1
Well 1,284,2,0.106,109.5438,23.8,150.06,111.18,692.76,19.1
Well 1,284,2,0.106,105.042,24.0,150.06,111.01,692.71,19.1
Well 1,284,2,0.106,100.7278,24.2,150.34,111.29,692.76,18.8
Well 1,284,2,0.142,93.74399999999999,23.9,151.2,110.95,696.26,19.4
Well 1,282,2,0.106,105.19359999999999,27.1,148.16,107.31,699.84,18.7
Well 1,282,2,0.107,107.62559999999999,27.6,149.48,107.26,699.19,18.8
Well 1,282,2,0.107,100.4665,28.5,149.95,107.34,698.42,19.2
Well 1,282,2,0.108,101.12310000000001,29.2,150.93,107.4,698.42,19.1
Well 1,282,2,0.108,102.0408,29.4,150.06,107.42,697.76,18.6
Well 1,282,2,0.109,103.09480000000002,28.8,151.61,107.31,697.76,18.5
Well 1,246,2,0.129,101.2836,27.1,153.46,72.37,698.47,18.8
Well 1,240,2,0.127,99.61380000000001,27.0,150.93,65.2,698.42,18.6
Well 1,240,2,0.128,107.565,27.1,151.5,65.15,697.76,21.0
Well 1,239,3,0.128,103.48920000000001,27.2,152.19,65.2,697.88,21.0
Well 1,239,3,0.128,103.2172,28.2,151.79,65.68,697.82,21.0
Well 1,239,3,0.132,106.30440000000002,28.2,156.33,65.48,697.88,20.6
Well 1,239,3,0.132,95.3613,29.3,156.33,65.54,696.46,20.5
Well 1,240,3,0.127,107.15319999999998,29.9,150.92,65.57,697.11,20.6
Well 1,239,3,0.126,107.5248,30.4,149.34,65.12,697.11,20.3
Well 1,239,3,0.128,101.92710000000001,30.1,152.13,65.4,696.46,20.0
Well 1,239,3,0.129,99.333,30.2,152.82,65.46,696.46,19.4
Well 1,239,3,0.131,99.0976,28.9,154.84,65.46,697.11,19.0
Well 1,240,3,0.128,98.3645,29.1,151.33,65.65,697.11,18.6
Well 1,240,3,0.126,106.70589999999999,28.9,150.29,65.51,697.88,18.6
Well 1,240,3,0.127,103.70009999999999,29.0,150.29,65.51,697.88,18.1
Well 1,240,3,0.128,109.08,28.8,151.5,65.43,697.23,18.6
Well 1,239,3,0.129,110.23920000000001,28.7,153.11,65.76,697.11,19.1
Well 1,240,3,0.129,111.8506,28.9,153.22,65.37,697.11,19.2
Well 1,240,3,0.129,116.4928,30.0,153.28,65.62,697.88,19.7
Well 1,239,3,0.127,114.0912,30.3,150.12,65.51,696.46,19.9
Well 1,240,3,0.127,100.38610000000001,30.9,149.83,65.71,696.46,20.2
Well 1,239,3,0.128,109.08,30.5,151.5,65.43,696.46,20.5
Well 1,239,3,0.127,106.9118,31.1,150.58,65.32,695.81,20.7
Well 1,240,3,0.127,111.8066,31.4,151.09,65.74,696.52,21.6
Well 1,239,3,0.128,112.0656,31.1,151.44,65.37,695.81,22.3
Well 1,239,3,0.163,106.97399999999999,32.2,152.82,65.46,696.58,25.5
Well 1,261,4,0.16,123.66869999999999,37.7,179.23,87.27,698.46,24.0
Well 1,258,4,0.147,127.92840000000001,37.7,188.13,84.24,698.46,22.9
Well 1,258,4,0.154,123.69420000000001,34.1,196.34,83.71,698.46,23.8
Well 1,258,4,0.158,122.78689999999999,32.9,201.29,83.74,697.81,24.2
Well 1,258,4,0.159,121.90199999999999,32.9,203.17,83.46,698.34,24.6
Well 1,258,4,0.159,111.83700000000002,33.0,203.34,83.65,697.69,24.3
Well 1,258,4,0.158,112.896,33.6,201.6,83.43,697.69,24.0
Well 1,258,4,0.156,111.36160000000002,33.9,198.86,83.82,697.81,23.7
Well 1,258,4,0.158,117.2006,33.5,202.07,83.57,698.46,23.8
Well 1,258,4,0.158,111.188,32.9,202.16,83.43,697.81,24.3
Well 1,258,4,0.159,109.4688,33.3,202.72,83.51,697.81,26.6
Well 1,258,4,0.159,117.6472,33.8,202.84,83.26,697.81,26.0
Well 1,258,4,0.156,115.63459999999999,34.8,199.37,83.57,697.81,26.0
Well 1,278,4,0.16,128.2206,34.9,221.07,103.7,697.81,26.0
Well 1,278,4,0.172,126.0446,33.3,237.82,103.9,696.38,26.6
Well 1,277,4,0.182,115.552,32.1,251.2,103.7,696.38,27.3
Well 1,277,4,0.184,114.129,32.0,253.62,103.62,695.02,27.3
Well 1,277,4,0.181,112.54950000000001,32.4,250.11,103.39,695.73,27.2
Well 1,277,4,0.182,107.5602,32.0,250.14,103.56,695.02,27.6
Well 1,277,4,0.185,119.51629999999999,32.2,254.29,103.42,695.08,28.0
Well 1,277,4,0.187,118.47760000000001,31.1,257.56,103.64,695.73,27.8
Well 1,278,4,0.184,116.748,31.8,253.8,103.9,695.73,27.2
Well 1,277,4,0.181,114.586,31.3,249.1,103.48,695.68,26.8
Well 1,277,4,0.183,108.5191,31.1,252.37,103.36,695.73,26.4
Well 1,277,4,0.184,106.86479999999999,31.0,254.44,103.11,695.61,26.8
Well 1,277,4,0.181,117.3355,31.2,249.65,103.36,695.73,27.6
Well 1,277,4,0.184,116.16380000000001,31.7,252.53,103.31,695.02,27.7
Well 1,277,4,0.254,119.4787,31.6,254.21,103.45,697.16,29.3
Well 1,235,2,0.159,134.9186,17.4,184.82,60.73,696.56,21.7
Well 1,235,3,0.204,137.7268,18.3,237.46,61.06,695.44,24.6
Well 1,234,3,0.214,111.834,19.8,248.52,60.98,692.71,25.5
Well 1,269,3,0.213,116.25919999999999,23.3,247.36,96.11,691.4,25.3
Well 1,274,3,0.177,113.4721,23.3,241.43,101.18,691.35,24.8
Well 1,274,3,0.182,108.9528,22.7,247.62,100.84,691.35,24.9
Well 1,274,3,0.184,112.5315,22.0,250.07,101.04,692.06,25.0
Well 1,274,3,0.185,115.4278,22.3,250.93,100.82,692.06,25.3
Well 1,278,3,0.179,163.547,32.4,244.1,102.83,704.4,24.6
Well 1,279,3,0.091,112.54050000000001,39.0,126.45,102.89,707.13,20.3
Well 1,279,3,0.118,116.31600000000002,39.9,129.24,102.58,707.18,20.4
Well 1,276,3,0.092,110.78320000000001,39.0,125.89,99.89,707.18,18.1
Well 1,276,3,0.092,115.6072,38.8,125.66,100.06,707.18,18.1
Well 1,277,3,0.092,116.4076,39.1,126.53,99.98,707.18,17.9
Well 1,277,3,0.092,111.1968,39.0,126.36,100.29,707.06,18.0
Well 1,276,3,0.092,111.8374,39.2,125.66,99.87,707.13,18.3
Well 1,276,3,0.092,113.571,38.8,126.19,99.64,707.13,17.9
Well 1,276,3,0.092,113.094,38.5,125.66,99.7,707.18,17.8
Well 1,276,3,0.093,109.35759999999999,37.8,127.16,99.31,707.13,18.4
Well 1,276,3,0.094,110.0972,38.4,128.02,99.67,706.47,18.5
Well 1,276,3,0.09,116.55999999999999,39.3,124.0,99.42,707.78,18.0
Well 1,276,3,0.093,117.4342,37.7,124.93,99.92,707.83,18.6
Well 1,260,3,0.119,120.8814,35.1,129.98,84.24,708.54,22.8
Well 1,277,3,0.117,118.2123,38.9,127.11,100.65,707.83,21.3
Well 1,275,3,0.117,113.25599999999999,38.8,128.7,99.08,707.83,20.3
Well 1,264,3,0.118,113.6619,37.2,127.71,88.05,707.83,20.2
Well 1,277,3,0.115,116.436,39.4,125.2,100.7,708.54,19.5
Well 1,277,3,0.115,118.25880000000001,39.0,127.16,100.68,709.19,19.2
Well 1,277,3,0.094,118.4727,39.0,127.39,101.1,707.83,18.5
Well 1,258,3,0.122,119.9588,34.0,130.39,81.44,708.49,19.9
Well 1,275,3,0.118,117.2172,38.4,127.41,98.86,708.49,18.9
Well 1,275,3,0.119,117.80860000000001,38.7,129.46,98.97,707.18,19.0
Well 1,276,3,0.092,118.4964,39.5,126.06,99.42,707.83,16.8
Well 1,276,2,0.093,117.71940000000001,36.5,126.58,99.47,707.83,17.1
Well 1,276,2,0.093,111.89200000000001,36.1,127.15,99.87,708.49,17.2
Well 1,276,2,0.091,114.4388,36.3,124.39,99.45,707.71,17.0
Well 1,276,2,0.093,120.1275,36.3,126.45,99.31,708.49,17.4
Well 1,276,2,0.092,108.79860000000001,36.9,126.51,99.25,707.83,17.6
Well 1,276,3,0.093,110.1333,36.8,126.59,98.83,707.83,17.1
Well 1,275,3,0.122,143.1126,35.0,166.41,98.35,707.18,19.2
Well 1,274,3,0.145,123.8013,29.1,196.51,97.71,705.05,20.3
Well 1,273,3,0.147,105.45410000000001,28.2,198.97,97.74,704.4,20.5
Well 1,274,3,0.147,107.59500000000001,28.4,199.25,97.71,704.4,20.7
Well 1,273,3,0.147,109.40050000000001,29.3,198.91,97.43,703.74,21.2
