Well Name,Bit RPM (RPM),Bit Torque (kft_lb),Depth of Cut (in),Gamma (api),Mechanical Specific Energy (ksi),On Bottom ROP (ft_per_hr),Rotary RPM (RPM),Total Pump Output (gal_per_min),Weight on Bit (klbs)
Well 1,272,7,0.361,117.4896,26.8,489.54,99.53,692.92,50.4
Well 1,272,7,0.358,121.425,27.2,485.7,99.0,692.8,50.2
Well 1,272,7,0.353,119.3375,27.8,477.35,99.33,692.8,49.5
Well 1,274,7,0.343,117.135,28.3,468.54,98.97,700.0,50.6
Well 1,274,7,0.347,123.02940000000001,28.6,473.19,99.28,698.57,49.8
Well 1,274,7,0.346,123.0008,28.9,473.08,99.28,698.57,50.9
Well 1,274,7,0.349,123.513,29.2,475.05,99.17,698.57,51.1
Well 1,274,7,0.346,122.655,30.5,471.75,99.22,698.57,50.0
Well 1,274,7,0.331,126.4732,31.0,451.69,99.17,698.57,50.9
Well 1,274,7,0.334,127.47000000000001,30.7,455.25,99.11,698.57,51.8
Well 1,274,7,0.333,127.35520000000001,30.9,454.84,99.39,699.22,51.1
Well 1,274,7,0.322,127.4318,31.6,439.42,99.22,699.22,50.4
Well 1,274,7,0.326,120.2418,31.3,445.34,99.05,699.34,49.9
Well 1,274,7,0.332,117.78,30.1,453.0,99.08,698.57,49.6
Well 1,274,7,0.332,113.325,30.1,453.3,99.39,699.22,49.7
Well 1,274,7,0.333,113.525,30.1,454.1,99.14,699.28,49.6
Well 1,274,7,0.333,113.4675,30.2,453.87,99.36,698.57,49.3
Well 1,274,7,0.327,116.1654,31.0,446.79,99.05,699.22,49.1
Well 1,274,7,0.323,114.70160000000001,31.1,441.16,99.08,698.57,49.4
Well 1,274,7,0.329,116.6932,30.6,448.82,99.25,698.57,49.7
Well 1,274,7,0.331,126.11760000000001,30.5,450.42,99.25,697.86,49.6
Well 1,274,7,0.333,127.26280000000001,30.3,454.51,99.5,698.57,49.8
Well 1,274,7,0.334,123.0417,30.2,455.71,99.25,698.57,50.5
Well 1,274,7,0.332,108.708,30.2,452.95,99.45,698.57,49.5
Well 1,274,7,0.337,110.3256,30.2,459.69,99.08,699.22,50.6
Well 1,274,7,0.34,120.432,29.8,463.2,99.14,698.57,51.8
Well 1,274,7,0.339,120.4294,30.0,463.19,99.45,698.57,49.8
Well 1,274,7,0.335,118.96300000000001,30.4,457.55,99.31,699.28,50.2
Well 1,274,7,0.341,121.22240000000001,30.1,466.24,99.39,698.57,50.4
Well 1,274,7,0.342,116.8475,29.7,467.39,99.39,699.28,50.7
Well 1,274,7,0.342,121.37060000000001,29.7,466.81,99.39,698.57,50.4
Well 1,274,7,0.346,122.8214,29.3,472.39,99.31,698.57,50.2
Well 1,274,7,0.346,122.74600000000001,29.3,472.1,99.33,698.57,50.2
Well 1,274,7,0.345,122.4678,29.2,471.03,99.39,698.57,50.2
Well 1,274,7,0.346,122.77980000000001,29.2,472.23,99.31,699.22,50.1
Well 1,274,7,0.346,122.525,29.4,471.25,99.11,698.57,50.3
Well 1,274,7,0.342,121.5526,29.7,467.51,99.33,698.57,49.5
Well 1,274,7,0.342,121.1652,29.9,466.02,99.42,698.57,50.5
Well 1,274,7,0.345,122.525,29.5,471.25,99.53,698.57,49.9
Well 1,274,7,0.345,113.1288,29.5,471.37,99.39,698.57,51.2
Well 1,274,7,0.342,111.78960000000001,29.9,465.79,99.28,698.57,51.3
Well 1,274,7,0.338,110.41199999999999,30.9,460.05,99.42,698.57,50.7
Well 1,274,7,0.329,112.275,31.0,449.1,99.47,698.57,50.2
Well 1,274,7,0.338,115.665,30.8,462.66,99.47,699.34,49.9
Well 1,274,7,0.344,117.4375,29.5,469.75,99.47,698.57,49.7
Well 1,274,7,0.344,117.4075,29.8,469.63,99.39,698.57,50.0
Well 1,274,7,0.339,115.64,29.9,462.56,99.31,698.57,49.7
Well 1,274,7,0.339,115.535,29.5,462.14,99.39,698.57,50.0
Well 1,274,7,0.339,111.0408,29.6,462.67,99.31,699.93,49.7
Well 1,274,7,0.339,120.48920000000001,29.4,463.42,99.47,699.22,49.9
Well 1,274,7,0.339,120.2812,30.0,462.62,99.31,698.57,49.9
Well 1,274,7,0.332,117.72279999999999,30.3,452.78,99.19,699.22,50.0
Well 1,274,7,0.331,117.169,30.2,450.65,99.22,699.28,49.8
Well 1,274,7,0.327,120.64950000000002,33.4,446.85,99.03,699.22,47.4
Well 1,273,7,0.293,135.83,35.9,399.5,98.72,700.7,45.8
Well 1,262,7,0.268,128.5454,37.1,347.42,86.06,702.72,43.2
Well 1,261,7,0.263,126.656,37.2,316.64,85.45,704.79,42.1
Well 1,277,2,0.16,165.1125,17.3,220.15,102.41,698.75,25.3
Well 1,277,3,0.182,129.7036,20.6,249.43,102.44,697.16,28.0
Well 1,276,3,0.183,120.4752,23.5,250.99,102.27,695.08,28.0
Well 1,276,3,0.178,126.74480000000001,25.8,243.74,102.3,693.77,27.6
Well 1,275,3,0.177,128.56740000000002,25.8,242.58,102.19,694.43,27.9
Well 1,275,3,0.181,121.37299999999999,24.4,247.7,102.1,694.43,28.2
Well 1,275,3,0.181,121.7405,24.6,248.45,102.41,693.72,28.7
Well 1,276,3,0.182,119.5632,25.5,249.09,102.64,693.07,28.0
Well 1,276,3,0.17,125.56080000000001,27.0,232.52,102.92,693.07,27.7
Well 1,276,3,0.156,120.15360000000001,27.1,214.56,103.31,695.14,26.6
Well 1,277,3,0.149,114.72720000000001,28.0,204.87,103.11,695.14,28.8
Well 1,277,3,0.142,117.17399999999999,27.9,195.29,103.39,695.85,28.6
Well 1,276,3,0.145,118.07079999999999,27.9,200.12,103.0,694.49,28.4
Well 1,276,3,0.149,122.49,27.2,204.15,103.08,695.14,27.0
Well 1,276,3,0.148,120.31279999999998,27.5,203.92,103.03,695.14,26.1
Well 1,277,3,0.148,120.0768,27.5,203.52,103.22,695.85,26.0
Well 1,277,3,0.147,113.68,26.6,203.0,103.2,695.8,26.0
Well 1,277,3,0.149,116.5593,26.2,204.49,103.53,695.14,26.4
Well 1,277,3,0.147,117.044,26.7,201.8,103.03,695.02,25.6
Well 1,277,3,0.198,113.088,26.5,198.4,103.22,696.5,28.4
Well 1,276,3,0.171,125.54539999999999,36.4,171.98,101.88,696.5,30.3
Well 1,275,3,0.19,129.8022,34.6,196.67,101.77,696.5,29.8
Well 1,279,3,0.182,128.60840000000002,33.1,189.13,105.6,695.02,30.0
Well 1,279,3,0.146,119.69919999999999,31.5,202.88,105.24,694.43,27.7
Well 1,278,3,0.206,141.2568,31.2,204.72,104.37,696.5,30.4
Well 1,275,3,0.176,136.0476,33.9,179.01,101.01,695.02,28.4
Well 1,277,3,0.177,143.4105,37.8,177.05,103.25,697.93,29.9
Well 1,277,3,0.175,143.0865,36.2,176.65,102.69,695.8,29.5
Well 1,277,3,0.18,138.27439999999999,34.2,181.94,103.76,697.86,29.5
Well 1,277,3,0.141,148.0252,34.2,194.77,103.11,695.14,27.7
Well 1,276,3,0.201,126.44099999999999,28.5,200.7,102.97,697.21,29.9
Well 1,277,3,0.167,130.9708,35.3,172.33,103.28,697.21,29.8
Well 1,276,3,0.176,127.3464,35.2,176.87,102.58,698.64,30.1
Well 1,277,3,0.163,130.7826,35.6,167.67,103.08,697.16,29.6
Well 1,276,3,0.18,154.10500000000002,37.8,181.3,102.33,697.98,30.0
Well 1,276,3,0.124,149.6792,39.2,170.09,101.96,695.85,28.2
Well 1,276,3,0.132,126.46899999999998,31.1,180.67,101.96,695.85,29.6
Well 1,276,3,0.122,128.8364,30.7,167.32,102.19,696.5,28.9
Well 1,275,3,0.143,148.9448,30.5,195.98,101.49,696.5,28.5
Well 1,275,3,0.149,116.26859999999998,26.9,203.98,101.24,695.14,29.1
Well 1,275,3,0.148,119.53399999999999,29.3,202.6,101.85,695.14,29.4
Well 1,275,3,0.136,121.069,30.1,186.26,101.68,695.2,29.2
Well 1,275,3,0.13,118.9719,32.4,177.57,101.71,695.08,28.8
Well 1,275,3,0.141,121.47030000000001,30.2,192.81,101.6,695.14,28.8
Well 1,275,3,0.143,121.5448,28.7,196.04,101.6,694.37,28.6
Well 1,275,3,0.145,119.208,27.6,198.68,101.63,694.43,29.0
Well 1,275,3,0.142,118.63279999999999,29.3,194.48,102.19,694.37,30.0
Well 1,274,3,0.201,159.4246,27.7,274.87,101.21,693.72,35.4
Well 1,274,3,0.25,139.7772,21.2,340.92,100.7,692.36,36.8
Well 1,273,4,0.256,114.55290000000001,21.6,347.13,100.87,689.63,37.6
Well 1,273,4,0.255,117.30000000000001,23.5,345.0,100.76,688.21,38.4
Well 1,272,4,0.247,117.0645,25.0,334.47,100.76,686.85,38.8
Well 1,272,4,0.241,114.20849999999999,25.6,326.31,100.54,686.19,38.8
Well 1,272,4,0.238,112.83649999999999,25.7,322.39,100.26,686.19,37.9
Well 1,272,4,0.242,104.656,25.2,327.05,100.79,686.85,37.8
Well 1,272,4,0.242,117.7992,25.1,327.22,100.45,686.19,37.1
Well 1,272,4,0.242,118.13399999999999,25.0,328.15,100.34,686.19,36.5
Well 1,272,4,0.243,118.2564,24.3,328.49,100.65,686.85,35.8
Well 1,274,4,0.242,121.13799999999999,24.7,327.4,100.79,693.09,35.4
Well 1,276,5,0.238,120.4794,26.8,325.62,100.54,701.83,35.2
Well 1,275,5,0.238,120.71249999999999,27.9,326.25,100.54,700.34,35.3
Well 1,276,5,0.236,116.4348,28.2,323.43,100.98,699.68,35.7
Well 1,275,5,0.236,113.14099999999999,28.4,323.26,100.56,699.03,35.7
Well 1,275,5,0.236,119.56179999999999,28.6,323.14,100.62,699.68,35.5
Well 1,276,5,0.233,118.43329999999999,28.4,320.09,100.9,700.34,35.8
Well 1,275,5,0.24,122.15920000000001,27.9,330.16,100.7,698.98,36.0
Well 1,275,5,0.247,118.335,27.5,338.1,100.79,698.91,37.9
Well 1,276,5,0.248,118.797,27.2,339.42,101.18,698.98,37.6
Well 1,276,5,0.248,112.1769,27.3,339.93,101.01,698.32,37.4
Well 1,275,5,0.247,118.61499999999998,27.7,338.9,100.59,698.98,36.4
Well 1,275,5,0.241,115.4545,27.8,329.87,100.68,698.32,35.8
Well 1,275,5,0.24,115.41599999999998,27.8,329.76,100.7,698.98,34.9
Well 1,276,5,0.237,113.5015,28.0,324.29,100.93,699.68,34.8
Well 1,276,5,0.237,113.6625,27.6,324.75,100.73,700.34,35.1
Well 1,276,5,0.236,113.39999999999999,27.3,324.0,100.79,700.34,35.2
Well 1,276,5,0.237,113.5015,27.5,324.29,100.79,699.68,36.1
Well 1,276,5,0.235,112.777,28.0,322.22,101.18,700.27,34.9
Well 1,276,5,0.24,115.213,27.7,329.18,101.01,699.68,35.9
Well 1,276,5,0.243,113.0942,27.2,332.63,100.93,699.68,36.1
Well 1,275,5,0.244,116.66549999999998,27.2,333.33,100.76,700.39,36.5
Well 1,276,5,0.242,119.48039999999999,27.4,331.89,101.21,700.34,36.5
Well 1,276,5,0.237,117.2196,28.2,325.61,100.68,699.63,36.5
Well 1,276,5,0.253,121.9382,29.0,320.89,101.4,699.68,36.2
Well 1,248,5,0.257,120.8058,26.7,317.91,73.69,699.68,37.2
Well 1,248,5,0.27,121.56960000000001,26.3,319.92,73.46,699.68,38.1
Well 1,237,5,0.276,121.6917,26.7,312.03,61.99,699.03,39.0
Well 1,279,2,0.192,131.5028,17.5,252.89,104.76,699.5,30.6
Well 1,278,3,0.273,169.884,16.5,377.52,104.71,694.58,32.9
Well 1,277,4,0.276,125.87190000000001,19.5,381.43,104.62,690.55,33.0
Well 1,277,4,0.253,128.8007,21.7,348.11,104.68,689.31,32.1
Well 1,277,4,0.229,125.78,22.4,314.45,104.88,689.96,32.1
Well 1,277,4,0.229,126.51600000000002,22.1,316.29,104.9,689.19,32.5
Well 1,277,4,0.234,125.6697,21.7,322.23,104.68,689.31,33.9
Well 1,280,4,0.234,109.5922,24.8,322.33,104.79,702.04,34.4
Well 1,279,4,0.233,109.78940000000001,25.8,322.91,104.74,697.19,34.0
Well 1,279,4,0.237,112.05720000000001,25.8,329.58,104.76,695.83,34.9
Well 1,279,4,0.239,112.5672,26.0,331.08,104.74,696.42,37.7
Well 1,279,5,0.235,117.34559999999999,26.6,325.96,104.71,696.49,36.5
Well 1,279,5,0.236,114.4885,26.7,327.11,104.57,696.42,35.6
Well 1,279,5,0.242,120.9312,25.9,335.92,104.74,696.54,35.4
Well 1,279,5,0.242,120.9492,26.2,335.97,104.62,695.83,34.8
Well 1,278,5,0.236,118.0512,26.6,327.92,104.57,697.19,34.3
Well 1,278,5,0.236,111.18,26.2,327.0,104.62,695.83,34.5
Well 1,278,5,0.236,114.36599999999999,26.7,326.76,104.43,696.42,33.8
Well 1,279,5,0.235,117.6552,26.7,326.82,104.57,697.19,34.0
Well 1,279,4,0.238,122.3072,25.9,330.56,104.51,696.54,33.2
Well 1,279,5,0.238,125.3468,26.2,329.86,104.6,695.83,33.6
Well 1,279,5,0.236,123.9522,26.2,326.19,104.71,697.19,33.6
Well 1,279,4,0.235,120.58299999999998,25.9,325.9,104.6,697.19,34.4
Well 1,279,4,0.233,122.70580000000001,26.5,322.91,105.04,696.54,34.1
Well 1,279,4,0.228,117.3899,26.6,317.27,104.96,695.77,34.9
Well 1,279,5,0.235,120.56450000000001,26.9,325.85,104.85,695.83,36.5
Well 1,278,5,0.238,111.96200000000002,27.5,329.3,104.79,694.41,35.5
Well 1,281,5,0.235,113.97399999999999,28.4,325.64,105.16,702.84,35.1
Well 1,280,5,0.237,115.72049999999999,29.1,330.63,104.96,703.54,35.6
Well 1,280,5,0.236,122.14070000000001,32.1,330.11,104.96,702.18,35.2
Well 1,280,5,0.219,116.0368,32.9,305.36,104.96,702.18,33.6
Well 1,280,5,0.211,117.51600000000002,33.1,293.79,104.93,703.48,32.9
Well 1,280,5,0.204,116.46869999999998,33.7,284.07,105.1,702.89,32.3
Well 1,281,5,0.199,122.1528,33.6,277.62,105.41,704.9,31.5
Well 1,281,5,0.197,123.7905,33.4,275.09,105.24,704.9,31.2
Well 1,281,5,0.196,117.5706,33.3,273.42,104.96,704.2,30.9
Well 1,281,5,0.197,118.34029999999998,32.4,275.21,105.38,704.2,30.8
Well 1,282,5,0.196,109.78800000000001,32.5,274.47,105.35,705.56,30.7
Well 1,281,5,0.2,112.152,31.8,280.38,105.04,705.68,30.7
Well 1,281,5,0.201,112.36,32.3,280.9,104.82,705.68,30.3
Well 1,281,5,0.193,119.11680000000001,32.7,270.72,104.88,705.56,30.9
Well 1,281,5,0.194,117.1793,31.9,272.51,104.93,706.21,32.3
Well 1,281,5,0.197,118.93369999999999,32.0,276.59,104.82,705.56,31.4
Well 1,281,5,0.199,116.7264,31.3,277.92,105.1,706.33,32.3
Well 1,281,5,0.197,124.00200000000001,31.4,275.56,104.79,706.33,30.8
Well 1,281,5,0.197,126.73,32.1,275.5,104.93,706.21,30.9
Well 1,281,5,0.198,127.2544,32.1,276.64,104.85,705.56,31.2
Well 1,281,5,0.198,121.74799999999999,31.9,276.7,104.88,705.56,31.1
Well 1,281,5,0.195,114.7902,31.9,273.31,104.76,706.21,31.1
Well 1,281,5,0.195,114.7902,32.1,273.31,104.82,706.21,30.9
Well 1,281,5,0.196,115.2522,32.5,274.41,104.96,704.85,31.5
Well 1,281,5,0.197,109.80799999999999,32.4,274.52,104.96,704.85,31.5
Well 1,281,5,0.198,110.54400000000001,32.5,276.36,105.07,704.9,31.6
Well 1,281,5,0.199,116.9658,32.3,278.49,104.65,704.9,32.3
Well 1,281,5,0.198,119.23039999999999,32.2,277.28,105.02,704.97,31.7
Well 1,281,5,0.196,118.0393,32.6,274.51,104.85,704.9,30.9
Well 1,281,5,0.197,113.14359999999998,32.7,275.96,104.93,704.9,31.1
Well 1,282,5,0.196,139.94910000000002,38.2,274.41,106.02,706.33,30.3
Well 1,278,2,0.172,118.34,17.3,236.68,103.7,697.82,26.2
Well 1,278,3,0.171,120.8445,22.5,236.95,103.64,699.06,26.9
Well 1,280,3,0.171,120.9975,24.0,237.25,103.56,704.18,27.7
Well 1,279,3,0.176,117.4656,26.3,244.72,103.45,701.34,28.0
Well 1,278,4,0.18,122.0247,26.6,249.03,103.62,700.69,28.6
Well 1,278,4,0.182,120.9408,26.8,251.96,103.25,701.46,28.8
Well 1,278,4,0.181,118.0405,27.8,251.15,103.78,700.81,28.9
Well 1,278,4,0.184,114.795,27.9,255.1,103.42,700.81,28.9
Well 1,278,4,0.184,117.08840000000001,26.9,254.54,103.62,700.03,28.8
Well 1,279,4,0.183,116.5134,27.0,253.29,103.92,700.69,31.4
Well 1,279,4,0.181,110.352,27.2,250.8,103.9,700.03,30.8
Well 1,279,4,0.182,110.75240000000001,27.0,251.71,103.62,700.69,29.9
Well 1,279,4,0.181,118.16269999999999,28.0,251.41,103.67,700.03,28.9
Well 1,278,4,0.182,118.91469999999998,27.9,253.01,103.7,700.03,29.2
Well 1,278,4,0.183,116.4628,26.6,253.18,103.48,700.69,29.3
Well 1,278,4,0.181,115.36800000000001,26.5,250.8,103.78,699.98,28.9
Well 1,279,4,0.181,113.07600000000001,26.6,251.28,103.76,699.98,29.5
Well 1,279,4,0.181,110.3036,27.3,250.69,103.81,699.91,28.8
Well 1,279,4,0.183,111.9932,27.1,254.53,103.7,700.03,28.7
Well 1,279,4,0.185,109.9897,26.8,255.79,103.76,700.03,28.9
Well 1,278,4,0.179,116.98299999999999,27.3,248.9,103.62,700.74,28.5
Well 1,279,4,0.18,114.97240000000001,26.6,249.94,103.64,701.39,28.9
Well 1,279,4,0.179,114.20420000000001,27.5,248.27,103.76,700.69,28.2
Well 1,279,4,0.182,111.3024,27.3,252.96,103.84,700.69,28.5
Well 1,279,4,0.183,116.4076,26.8,253.06,104.09,700.69,28.8
Well 1,279,4,0.182,115.7222,27.1,251.57,103.76,700.03,29.3
Well 1,279,4,0.183,116.8952,26.9,254.12,104.06,700.03,29.8
Well 1,278,4,0.183,116.66520000000001,27.9,253.62,103.62,700.03,30.5
Well 1,278,4,0.18,114.8114,28.5,249.59,103.45,699.33,30.4
Well 1,279,4,0.205,128.0565,28.0,284.57,103.62,700.03,33.1
Well 1,278,4,0.233,128.92000000000002,24.6,322.3,103.81,700.03,36.1
Well 1,278,4,0.255,127.1052,23.4,353.07,103.67,697.96,37.7
Well 1,277,5,0.262,111.95649999999999,24.7,361.15,103.45,695.94,38.0
Well 1,277,5,0.262,108.252,25.9,360.84,103.48,693.93,38.5
Well 1,277,5,0.257,109.96320000000001,26.7,354.72,103.62,694.64,38.3
Well 1,277,5,0.247,116.1134,27.0,341.51,103.42,695.35,37.9
Well 1,277,5,0.256,120.22400000000002,26.3,353.6,103.5,694.52,38.3
Well 1,277,5,0.256,116.7309,26.0,353.73,103.53,694.64,38.5
Well 1,277,5,0.253,115.49340000000001,26.2,349.98,103.67,694.64,38.8
Well 1,277,5,0.253,118.745,26.5,349.25,103.7,694.64,38.4
Well 1,277,5,0.251,117.5788,26.6,345.82,103.56,695.29,40.2
Well 1,277,5,0.251,110.624,26.7,345.7,103.39,695.29,39.8
Well 1,279,5,0.246,113.43090000000001,27.3,343.73,103.59,704.78,39.4
Well 1,280,5,0.256,117.60210000000001,28.4,356.37,103.62,706.21,38.1
Well 1,280,5,0.255,117.4437,29.4,355.89,103.64,704.85,37.7
Well 1,279,5,0.252,123.17899999999999,29.6,351.94,103.59,704.08,37.6
Well 1,280,5,0.253,123.3645,29.4,352.47,103.53,705.56,37.5
Well 1,280,5,0.258,125.9335,28.9,359.81,103.53,704.85,37.3
Well 1,279,5,0.259,122.37280000000001,28.9,359.92,103.87,704.85,36.9
Well 1,279,5,0.253,116.4075,29.2,352.75,103.56,704.78,36.2
Well 1,280,5,0.252,119.52700000000002,28.9,351.55,103.59,704.85,36.4
Well 1,280,5,0.253,123.16499999999998,28.5,351.9,103.59,706.21,36.3
Well 1,280,5,0.252,122.91999999999999,28.3,351.2,103.59,704.85,36.1
Well 1,280,5,0.25,125.62920000000001,28.7,348.97,103.67,705.56,35.5
Well 1,280,5,0.25,125.2044,28.6,347.79,103.7,705.5,35.4
Well 1,280,5,0.249,107.7405,28.9,347.55,103.53,705.56,34.7
Well 1,280,5,0.247,106.4726,29.0,343.46,103.7,705.5,35.2
Well 1,280,5,0.252,112.38080000000001,28.6,351.19,103.84,706.21,35.4
Well 1,280,5,0.253,116.28210000000001,28.3,352.37,103.62,705.56,35.5
Well 1,280,5,0.251,119.2142,28.5,350.63,103.7,705.5,35.6
Well 1,280,5,0.249,117.86780000000002,28.7,346.67,103.84,706.21,36.4
Well 1,280,5,0.249,118.1568,29.2,347.52,104.04,705.56,36.2
Well 1,280,5,0.25,118.3846,29.4,348.19,103.84,704.85,37.1
Well 1,280,5,0.252,119.14280000000001,29.4,350.42,103.9,704.14,36.8
Well 1,280,5,0.251,118.7552,29.8,349.28,103.84,704.08,37.7
Well 1,280,6,0.253,112.84479999999999,30.2,352.64,103.84,704.2,38.3
Well 1,280,6,0.254,113.10719999999999,30.2,353.46,103.81,704.2,37.6
Well 1,280,6,0.252,112.23360000000001,30.3,350.73,104.01,704.2,37.1
Well 1,280,6,0.254,113.2544,29.8,353.92,103.62,704.2,37.2
Well 1,280,6,0.255,109.9539,29.9,354.69,103.81,704.2,37.0
Well 1,280,6,0.255,117.04110000000001,29.8,354.67,104.04,704.9,37.6
Well 1,280,6,0.258,104.13319999999999,29.5,359.08,104.09,704.9,38.2
Well 1,280,6,0.253,105.735,29.9,352.45,103.98,704.85,37.1
Well 1,280,5,0.25,118.558,29.8,348.7,104.06,704.2,36.6
Well 1,280,5,0.251,119.42160000000001,29.4,351.24,103.78,704.85,36.6
Well 1,280,5,0.254,120.06080000000001,29.0,353.12,103.95,705.56,36.5
Well 1,280,5,0.252,119.6392,29.2,351.88,103.84,704.85,36.8
Well 1,280,5,0.247,117.1164,29.4,344.46,104.26,704.85,36.4
Well 1,280,5,0.25,115.14030000000001,29.4,348.91,104.06,705.56,36.6
Well 1,280,5,0.252,119.26180000000001,29.4,350.77,103.92,704.85,37.0
Well 1,280,5,0.25,118.39820000000002,29.6,348.23,103.84,705.56,37.4
Well 1,280,5,0.249,117.82700000000001,29.8,346.55,104.18,704.9,37.6
Well 1,280,5,0.252,119.55080000000001,29.8,351.62,104.23,704.85,37.6
Well 1,280,5,0.254,116.7012,29.5,353.64,104.09,704.2,38.0
Well 1,280,5,0.25,118.3914,30.5,348.21,104.26,704.14,39.2
Well 1,280,6,0.272,127.5552,30.6,354.32,104.2,704.13,39.4
Well 1,262,6,0.278,126.60549999999999,28.2,361.73,86.17,704.9,39.6
Well 1,262,6,0.333,125.97899999999998,28.5,359.94,86.29,704.9,39.6
Well 1,248,1,0.047,151.14509999999999,36.6,57.91,73.63,697.21,15.1
Well 1,245,2,0.215,169.988,13.4,261.52,71.67,693.84,28.9
Well 1,244,3,0.267,135.94979999999998,13.9,323.69,71.84,688.98,33.2
Well 1,262,3,0.29,133.418,17.5,351.1,91.69,684.89,35.8
Well 1,277,4,0.265,123.13699999999999,22.8,351.82,104.96,689.76,36.0
Well 1,277,5,0.249,123.9948,25.2,344.43,105.02,689.11,34.5
Well 1,277,5,0.245,121.84199999999998,25.9,338.45,105.16,687.75,34.4
Well 1,277,5,0.244,111.11760000000001,26.1,336.72,105.1,688.45,34.1
Well 1,277,5,0.251,114.2658,26.1,346.26,105.16,688.45,34.1
Well 1,277,5,0.256,109.5881,25.0,353.51,105.04,688.45,33.8
Well 1,277,5,0.256,109.55399999999999,25.0,353.4,105.21,688.45,33.7
Well 1,277,5,0.255,109.0115,25.1,351.65,104.93,688.52,35.5
Well 1,279,5,0.255,112.81280000000001,26.4,352.54,105.07,699.32,35.5
Well 1,279,5,0.253,116.21940000000001,27.3,352.18,105.02,697.9,35.0
Well 1,279,5,0.251,118.70080000000002,28.0,349.12,105.24,696.59,33.8
Well 1,279,5,0.249,124.362,28.2,345.45,104.99,697.25,33.6
Well 1,279,5,0.248,124.4196,28.2,345.61,105.24,697.25,33.8
Well 1,279,5,0.252,126.03960000000001,27.9,350.11,105.02,698.02,33.7
Well 1,279,5,0.251,118.58860000000001,28.6,348.79,105.04,697.31,34.1
Well 1,280,5,0.248,117.05860000000001,28.6,344.29,105.38,697.25,34.1
Well 1,279,5,0.249,120.946,28.6,345.56,105.16,698.02,33.9
Well 1,279,5,0.25,121.737,28.8,347.82,105.18,696.59,34.3
Well 1,279,5,0.25,118.20780000000002,28.9,347.67,105.44,696.59,35.0
Well 1,279,5,0.25,118.2418,29.5,347.77,105.13,696.59,35.7
Well 1,279,6,0.255,120.09480000000002,29.8,353.22,105.24,694.58,37.1
Well 1,279,6,0.256,117.1962,29.8,355.14,105.3,695.23,36.4
Well 1,279,6,0.255,120.26480000000002,30.3,353.72,105.44,695.29,36.7
Well 1,279,6,0.251,108.2582,30.5,349.22,105.13,695.23,36.5
Well 1,279,6,0.252,119.00000000000001,30.4,350.0,105.1,695.94,36.8
Well 1,279,6,0.255,120.513,30.2,354.45,105.32,695.23,37.4
Well 1,279,6,0.258,118.05090000000001,29.6,357.73,105.35,695.23,37.4
Well 1,279,6,0.258,111.0699,29.5,358.29,105.1,695.94,37.8
Well 1,279,6,0.256,117.1071,30.5,354.87,105.1,695.23,37.8
Well 1,279,6,0.248,113.9787,31.3,345.39,105.32,695.29,38.4
Well 1,279,6,0.253,115.61550000000001,31.3,350.35,105.18,694.52,38.3
Well 1,278,6,0.255,116.54610000000001,31.3,353.17,105.32,694.58,38.1
Well 1,279,6,0.252,119.153,31.3,350.45,105.24,694.58,38.8
Well 1,279,6,0.255,120.37360000000001,31.0,354.04,105.24,693.87,39.1
Well 1,279,6,0.256,121.0434,31.1,356.01,105.16,694.58,37.9
Well 1,279,6,0.262,123.50840000000001,30.8,363.26,105.44,693.87,37.6
Well 1,279,6,0.264,110.088,30.0,366.96,105.32,694.58,38.0
Well 1,279,6,0.264,117.3952,30.6,366.86,105.41,694.58,37.7
Well 1,279,6,0.255,120.42460000000001,31.4,354.19,105.49,694.58,38.2
Well 1,279,6,0.248,120.8095,31.5,345.17,105.24,695.23,38.4
Well 1,279,6,0.252,122.556,30.6,350.16,105.24,695.23,37.9
Well 1,279,6,0.251,118.79940000000002,30.3,349.41,105.38,695.23,37.5
Well 1,279,6,0.249,107.3933,30.4,346.43,105.41,695.89,36.7
Well 1,279,5,0.252,118.97280000000002,29.8,349.92,105.46,695.89,36.9
Well 1,279,6,0.251,122.192,30.1,349.12,105.44,695.23,36.6
Well 1,279,6,0.248,120.925,30.3,345.5,105.38,696.59,36.9
Well 1,279,5,0.252,111.97760000000001,29.9,349.93,105.41,695.94,36.6
Well 1,279,6,0.252,115.4439,30.3,349.83,105.38,695.94,36.6
Well 1,279,6,0.25,114.7047,30.5,347.59,105.32,696.59,36.4
Well 1,279,5,0.253,112.9088,29.6,352.84,105.35,695.89,36.6
Well 1,279,5,0.255,117.18630000000002,29.3,355.11,105.21,696.66,37.2
Well 1,279,6,0.255,117.15,29.8,355.0,105.27,695.94,36.3
Well 1,279,5,0.25,118.64980000000001,30.0,348.97,105.52,696.66,36.1
Well 1,279,5,0.25,114.8169,29.6,347.93,105.46,696.66,36.3
Well 1,280,5,0.25,114.83670000000001,29.6,347.99,105.55,695.89,35.5
Well 1,280,5,0.254,109.585,29.4,353.5,105.55,695.94,35.7
Well 1,279,5,0.258,110.9366,29.2,357.86,105.38,696.59,36.1
Well 1,279,5,0.257,107.325,29.0,357.75,105.63,696.59,37.0
Well 1,279,5,0.255,117.36780000000002,29.3,355.66,105.35,696.59,36.0
Well 1,279,5,0.253,115.8927,29.4,351.19,105.6,696.59,36.2
Well 1,279,5,0.252,122.76599999999999,29.4,350.76,105.66,695.89,36.1
